time,src,dst,event,size
0.002599,3,3,3,402
0.003001,1,1,1,402
0.003001,2,2,1,402
0.006008,3,3,3,610
0.006618,1,1,1,610
0.006618,2,2,1,610
0.006755,2,2,3,465
0.007220,1,1,1,465
0.007220,3,3,1,465
0.008860,1,1,3,865
0.009725,3,3,1,865
0.009725,2,2,1,865
0.009838,2,2,3,753
0.010591,1,1,1,753
0.010591,3,3,1,753
0.011415,2,2,3,1111
0.012526,1,1,1,1111
0.012526,3,3,1,1111
0.013301,3,3,3,390
0.013691,1,1,1,390
0.013691,2,2,1,390
0.016002,2,2,3,1435
0.017437,1,1,1,1435
0.017437,3,3,1,1435
0.020228,1,1,3,1320
0.021548,3,3,1,1320
0.021548,2,2,1,1320
0.021996,1,1,3,1074
0.023070,3,3,1,1074
0.023070,2,2,1,1074
0.023916,2,2,3,1009
0.024754,3,3,3,176
0.024925,1,1,1,1009
0.024925,3,3,1,1009
0.025102,1,1,1,176
0.025102,2,2,1,176
0.026958,2,2,3,904
0.027466,3,3,3,1412
0.027862,1,1,1,904
0.027862,3,3,1,904
0.029275,1,1,1,1412
0.029275,2,2,1,1412
0.030552,3,3,3,1268
0.031820,1,1,1,1268
0.031820,2,2,1,1268
0.031989,3,3,3,1182
0.032905,1,1,3,52
0.033171,1,1,1,1182
0.033171,2,2,1,1182
0.033224,3,3,1,52
0.033224,2,2,1,52
0.035778,3,3,3,602
0.036380,1,1,1,602
0.036380,2,2,1,602
0.038587,2,2,3,986
0.038592,2,2,3,737
0.038962,1,1,3,380
0.039573,1,1,1,986
0.039573,3,3,1,986
0.039954,3,3,2,380
0.039954,2,2,2,380
0.040311,1,1,2,737
0.040311,3,3,2,737
0.040835,1,1,3,1275
0.041845,1,1,3,842
0.042110,3,3,1,1275
0.042110,2,2,1,1275
0.042953,3,3,1,842
0.042953,2,2,2,842
0.043143,1,1,3,1414
0.044074,3,3,3,672
0.044473,3,3,3,489
0.044557,3,3,1,1414
0.044557,2,2,1,1414
0.045230,1,1,1,672
0.045230,2,2,1,672
0.045720,1,1,2,489
0.045720,2,2,1,489
0.047850,3,3,3,1364
0.048220,2,2,3,819
0.048400,3,3,3,814
0.049214,1,1,1,1364
0.049214,2,2,1,1364
0.050029,1,1,2,814
0.050029,2,2,2,814
0.050034,1,1,2,819
0.050034,3,3,2,819
0.050883,1,1,3,804
0.051687,3,3,1,804
0.051687,2,2,1,804
0.054059,2,2,3,893
0.054952,1,1,1,893
0.054952,3,3,1,893
0.056421,3,3,3,667
0.057088,1,1,1,667
0.057088,2,2,1,667
0.058277,2,2,3,582
0.058859,1,1,1,582
0.058859,3,3,1,582
0.060741,3,3,3,447
0.061188,1,1,1,447
0.061188,2,2,1,447
0.061741,3,3,3,299
