time,src,dst,event,size
0.001516,3,3,3,402
0.001918,1,1,1,402
0.001918,2,2,1,402
0.003505,3,3,3,610
0.003941,2,2,3,465
0.004115,1,1,1,610
0.004115,2,2,1,610
0.004581,1,1,1,465
0.004581,3,3,1,465
0.005168,1,1,3,865
0.005739,2,2,3,753
0.006033,3,3,1,865
0.006033,2,2,1,865
0.006659,2,2,3,1111
0.006787,1,1,1,753
0.006787,3,3,1,753
0.007759,3,3,3,390
0.007899,1,1,2,1111
0.007899,3,3,1,1111
0.008290,1,1,1,390
0.008290,2,2,1,390
0.009334,2,2,3,1435
0.010769,1,1,1,1435
0.010769,3,3,1,1435
0.011799,1,1,3,1320
0.012831,1,1,3,1074
0.013119,3,3,1,1320
0.013119,2,2,1,1320
0.013951,2,2,3,1009
0.014194,3,3,2,1074
0.014194,2,2,2,1074
0.014440,3,3,3,176
0.014616,1,1,2,176
0.014616,2,2,2,176
0.014960,1,1,2,1009
0.014960,3,3,2,1009
0.015726,2,2,3,904
0.016022,3,3,3,1412
0.016630,1,1,1,904
0.016630,3,3,1,904
0.017822,3,3,3,1268
0.018043,1,1,1,1412
0.018043,2,2,1,1412
0.018660,3,3,3,1182
0.019195,1,1,3,52
0.019312,1,1,1,1268
0.019312,2,2,2,1268
0.019365,3,3,2,52
0.019365,2,2,2,52
0.020495,1,1,2,1182
0.020495,2,2,2,1182
0.020871,3,3,3,602
0.021473,1,1,1,602
0.021473,2,2,1,602
0.022509,2,2,3,986
0.022512,2,2,3,737
0.022728,1,1,3,380
0.023495,1,1,1,986
0.023495,3,3,1,986
0.023820,1,1,3,1275
0.023876,3,3,2,380
0.023876,2,2,2,380
0.024233,1,1,2,737
0.024233,3,3,2,737
0.024409,1,1,3,842
0.025152,3,3,2,1275
0.025152,2,2,2,1275
0.025167,1,1,3,1414
0.025710,3,3,3,672
0.025943,3,3,3,489
0.025995,3,3,1,842
0.025995,2,2,1,842
0.026668,1,1,2,672
0.026668,2,2,2,672
0.027158,1,1,2,489
0.027158,2,2,2,489
0.027410,3,3,2,1414
0.027410,2,2,2,1414
0.027912,3,3,3,1364
0.028129,2,2,3,819
0.028233,3,3,3,814
0.029277,1,1,1,1364
0.029277,2,2,1,1364
0.029682,1,1,3,804
0.030092,1,1,2,814
0.030092,2,2,2,814
