time,src,dst,event,size
0.000718,3,3,3,402
0.001120,1,1,1,402
0.001120,2,2,1,402
0.001660,3,3,3,610
0.001867,2,2,3,465
0.002270,1,1,1,610
0.002270,2,2,1,610
0.002448,1,1,3,865
0.002718,2,2,3,753
0.002736,1,1,1,465
0.002736,3,3,1,465
0.003154,2,2,3,1111
0.003490,1,1,2,753
0.003490,3,3,2,753
0.003602,3,3,2,865
0.003602,2,2,2,865
0.003675,3,3,3,390
0.004065,1,1,2,390
0.004065,2,2,2,390
0.004422,2,2,3,1435
0.004602,1,1,2,1111
0.004602,3,3,2,1111
0.005589,1,1,3,1320
0.006038,1,1,1,1435
0.006038,3,3,1,1435
0.006078,1,1,3,1074
0.006608,2,2,3,1009
0.006840,3,3,3,176
0.007359,3,3,1,1320
0.007359,2,2,1,1320
0.007449,2,2,3,904
0.007536,1,1,2,176
0.007536,2,2,2,176
0.007589,3,3,3,1412
0.008369,1,1,2,1009
0.008369,3,3,2,1009
0.008434,3,3,2,1074
0.008434,2,2,2,1074
0.008442,3,3,3,1268
0.008839,3,3,3,1182
0.009001,1,1,2,1412
0.009001,2,2,2,1412
0.009092,1,1,3,52
0.009144,3,3,2,52
0.009144,2,2,2,52
0.009274,1,1,2,904
0.009274,3,3,2,904
0.009886,3,3,3,602
0.010270,1,1,2,1268
0.010270,2,2,2,1268
0.010662,2,2,3,986
0.010664,2,2,3,737
0.010766,1,1,3,380
0.011283,1,1,3,1275
0.011453,1,1,1,1182
0.011453,2,2,1,1182
0.011562,1,1,3,842
0.011834,3,3,2,380
0.011834,2,2,2,380
0.011921,1,1,3,1414
0.012056,1,1,2,602
0.012056,2,2,2,602
0.012178,3,3,3,672
0.012289,3,3,3,489
0.012440,1,1,2,986
0.012440,3,3,2,986
0.012850,1,1,2,672
0.012850,2,2,2,672
0.013110,3,3,2,1275
0.013110,2,2,2,1275
0.013178,1,1,2,737
0.013178,3,3,2,737
0.013222,3,3,3,1364
0.013324,2,2,3,819
0.013340,1,1,2,489
0.013340,2,2,2,489
0.013374,3,3,3,814
0.013953,3,3,2,842
0.013953,2,2,2,842
0.014060,1,1,3,804
0.014143,1,1,2,819
0.014143,3,3,2,819
0.014705,1,1,2,1364
0.014705,2,2,2,1364
0.014937,2,2,3,893
0.015368,3,3,2,1414
0.015368,2,2,2,1414
0.015520,1,1,2,814
0.015520,2,2,2,814
0.015590,3,3,3,667
0.015830,1,1,2,893
0.015830,3,3,2,893
0.016103,2,2,3,582
0.016173,3,3,2,804
0.016173,2,2,2,804
0.016257,1,1,2,667
0.016257,2,2,2,667
0.016685,1,1,2,582
0.016685,3,3,2,582
0.016784,3,3,3,447
0.017060,3,3,3,299
0.017231,1,1,1,447
0.017231,2,2,1,447
0.017231,2,2,3,970
0.017531,1,1,2,299
0.017531,2,2,2,299
0.018082,2,2,3,160
0.018202,1,1,2,970
0.018202,3,3,2,970
0.018308,3,3,3,1284
0.018363,1,1,1,160
0.018363,3,3,1,160
0.018428,1,1,3,1235
0.019648,1,1,1,1284
0.019648,2,2,1,1284
0.019947,2,2,3,1350
0.020884,3,3,1,1235
0.020884,2,2,1,1235
0.020971,2,2,3,591
0.021434,1,1,3,426
0.021688,3,3,3,1245
0.022235,1,1,1,1350
0.022235,3,3,1,1350
0.022578,2,2,3,874
0.022662,3,3,2,426
0.022662,2,2,2,426
0.022827,1,1,2,591
0.022827,3,3,2,591
0.023481,1,1,2,1245
0.023481,2,2,2,1245
0.023630,1,1,3,860
0.023702,1,1,2,874
0.023702,3,3,2,874
0.024418,1,1,3,975
0.024490,3,3,2,860
0.024490,2,2,2,860
0.024654,3,3,3,1341
0.025466,3,3,1,975
0.025466,2,2,1,975
0.026514,2,2,3,150
0.026729,3,3,3,727
0.026808,1,1,1,1341
0.026808,2,2,1,1341
0.026959,1,1,2,150
0.026959,3,3,2,150
0.027536,1,1,2,727
0.027536,2,2,2,727
0.027762,2,2,3,1239
0.028038,3,3,3,1077
0.028128,2,2,3,347
0.028202,3,3,3,507
0.029001,1,1,1,1239
0.029001,3,3,1,1239
0.029349,1,1,2,347
0.029349,3,3,2,347
0.030079,1,1,2,1077
0.030079,2,2,2,1077
0.030211,2,2,3,176
0.030419,2,2,3,1028
0.030428,3,3,3,851
0.030480,2,2,3,795
0.030480,2,2,4,795
0.030587,1,1,1,507
0.030587,2,2,1,507
0.030764,1,1,2,176
0.030764,3,3,2,176
0.031439,1,1,2,851
0.031439,2,2,2,851
0.031771,1,1,3,70
0.031793,1,1,2,1028
0.031793,3,3,2,1028
0.031864,3,3,1,70
0.031864,2,2,1,70
0.031982,2,2,3,898
0.032880,1,1,1,898
0.032880,3,3,1,898
0.033097,1,1,3,591
0.033111,2,2,3,1432
0.033159,2,2,3,63
0.033597,3,3,3,296
0.033688,3,3,1,591
0.033688,2,2,1,591
0.033705,1,1,3,333
0.033771,3,3,3,1370
0.033801,3,3,3,640
0.033942,3,3,3,403
0.033942,3,3,4,403
0.033985,1,1,2,296
0.033985,2,2,2,296
0.034270,3,3,3,956
0.034838,3,3,3,289
0.034838,3,3,4,289
0.035121,1,1,2,1432
0.035121,3,3,2,1432
0.035185,1,1,2,63
0.035185,3,3,2,63
0.035356,1,1,2,1370
0.035356,2,2,2,1370
0.035493,3,3,2,333
0.035493,2,2,2,333
0.035759,3,3,3,88
0.035828,1,1,3,1443
0.035899,3,3,3,544
0.035899,3,3,4,544
0.035997,1,1,2,640
0.035997,2,2,2,640
0.036121,1,1,3,1229
0.036954,1,1,2,956
0.036954,2,2,2,956
0.037043,1,1,2,88
0.037043,2,2,2,88
0.037271,3,3,2,1443
0.037271,2,2,2,1443
0.037429,2,2,3,274
0.037630,3,3,3,1412
0.037709,3,3,3,998
0.038501,3,3,1,1229
0.038501,2,2,1,1229
0.038776,1,1,2,274
0.038776,3,3,2,274
0.038898,2,2,3,521
0.039278,2,2,3,884
0.039419,1,1,3,282
0.039419,1,1,2,521
0.039419,3,3,2,521
0.039914,1,1,2,1412
0.039914,2,2,2,1412
0.040047,2,2,3,617
0.040165,3,3,3,758
0.040255,3,3,2,282
0.040255,2,2,2,282
0.040259,1,1,3,542
0.040304,1,1,2,884
0.040304,3,3,2,884
0.040656,3,3,3,390
0.040801,3,3,2,542
0.040801,2,2,2,542
0.040913,1,1,2,998
0.040913,2,2,2,998
0.040922,1,1,2,617
0.040922,3,3,2,617
0.041154,2,2,3,50
0.041204,1,1,2,50
0.041204,3,3,2,50
0.041672,1,1,2,758
0.041672,2,2,2,758
0.041738,3,3,3,512
0.041800,3,3,3,433
0.042063,1,1,1,390
0.042063,2,2,1,390
0.042161,3,3,3,1393
0.042576,1,1,2,512
0.042576,2,2,1,512
0.042651,1,1,3,443
0.042733,3,3,3,1384
0.042935,2,2,3,919
0.043010,1,1,2,433
0.043010,2,2,2,433
0.043236,1,1,3,586
0.043854,1,1,2,919
0.043854,3,3,2,919
0.043941,1,1,3,961
0.043941,1,1,4,961
0.043943,1,1,3,307
0.043943,1,1,4,307
0.044054,3,3,3,374
0.044404,1,1,2,1393
0.044404,2,2,2,1393
0.044478,1,1,3,573
