time,src,dst,event,size
0.000974,3,3,3,402
0.001376,1,1,1,402
0.001376,2,2,1,402
0.002253,3,3,3,610
0.002533,2,2,3,465
0.002863,1,1,1,610
0.002863,2,2,1,610
0.003323,1,1,3,865
0.003329,1,1,1,465
0.003329,3,3,1,465
0.003689,2,2,3,753
0.004195,3,3,1,865
0.004195,2,2,1,865
0.004281,2,2,3,1111
0.004949,1,1,1,753
0.004949,3,3,1,753
0.004988,3,3,3,390
0.005378,1,1,2,390
0.005378,2,2,2,390
0.006001,2,2,3,1435
0.006061,1,1,2,1111
0.006061,3,3,2,1111
0.007497,1,1,1,1435
0.007497,3,3,1,1435
0.007585,1,1,3,1320
0.008248,1,1,3,1074
0.008905,3,3,1,1320
0.008905,2,2,1,1320
0.008968,2,2,3,1009
0.009283,3,3,3,176
0.009459,1,1,2,176
0.009459,2,2,2,176
0.009980,3,3,2,1074
0.009980,2,2,2,1074
0.010109,2,2,3,904
0.010300,3,3,3,1412
0.010990,1,1,1,1009
0.010990,3,3,1,1009
0.011457,3,3,3,1268
0.011895,1,1,2,904
0.011895,3,3,2,904
0.011996,3,3,3,1182
0.012339,1,1,3,52
0.012391,3,3,2,52
0.012391,2,2,2,52
0.012403,1,1,2,1412
0.012403,2,2,2,1412
0.013417,3,3,3,602
0.013672,1,1,1,1268
0.013672,2,2,1,1268
0.014470,2,2,3,986
0.014472,2,2,3,737
0.014611,1,1,3,380
0.014855,1,1,1,1182
0.014855,2,2,1,1182
0.015236,3,3,2,380
0.015236,2,2,2,380
0.015313,1,1,3,1275
0.015458,1,1,2,602
0.015458,2,2,2,602
0.015692,1,1,3,842
0.015842,1,1,2,986
0.015842,3,3,2,986
0.016179,1,1,3,1414
0.016528,3,3,3,672
0.016580,1,1,2,737
0.016580,3,3,2,737
0.016588,3,3,2,1275
0.016588,2,2,2,1275
0.016677,3,3,3,489
0.017200,1,1,2,672
0.017200,2,2,2,672
0.017431,3,3,2,842
0.017431,2,2,2,842
0.017690,1,1,2,489
0.017690,2,2,2,489
0.017944,3,3,3,1364
0.018083,2,2,3,819
0.018150,3,3,3,814
0.018846,3,3,2,1414
0.018846,2,2,2,1414
0.018902,1,1,2,819
0.018902,3,3,2,819
0.019081,1,1,3,804
0.019308,1,1,2,1364
0.019308,2,2,2,1364
0.019885,3,3,2,804
0.019885,2,2,2,804
0.020123,1,1,2,814
0.020123,2,2,2,814
0.020272,2,2,3,893
0.021158,3,3,3,667
0.021165,1,1,1,893
0.021165,3,3,1,893
0.021833,1,1,1,667
0.021833,2,2,1,667
0.021854,2,2,3,582
0.022436,1,1,1,582
0.022436,3,3,1,582
0.022778,3,3,3,447
0.023153,3,3,3,299
0.023225,1,1,1,447
0.023225,2,2,1,447
0.023385,2,2,3,970
0.023525,1,1,1,299
0.023525,2,2,1,299
0.024496,1,1,1,970
0.024496,3,3,1,970
0.024540,2,2,3,160
0.024700,1,1,1,160
0.024700,3,3,1,160
0.024847,3,3,3,1284
0.025009,1,1,3,1235
0.026131,1,1,1,1284
0.026131,2,2,1,1284
0.027071,2,2,3,1350
0.027367,3,3,1,1235
0.027367,2,2,1,1235
0.028460,2,2,3,591
0.028718,1,1,1,1350
0.028718,3,3,1,1350
0.029089,1,1,3,426
0.029310,1,1,2,591
0.029310,3,3,2,591
0.029434,3,3,3,1245
0.029515,3,3,2,426
0.029515,2,2,2,426
0.030642,2,2,3,874
0.030761,1,1,1,1245
0.030761,2,2,1,1245
0.031636,1,1,1,874
0.031636,3,3,1,874
0.032070,1,1,3,860
0.032930,3,3,1,860
0.032930,2,2,1,860
0.033139,1,1,3,975
0.033460,3,3,3,1341
0.034114,3,3,1,975
0.034114,2,2,1,975
0.035456,1,1,1,1341
0.035456,2,2,1,1341
0.035983,2,2,3,150
0.036133,1,1,1,150
0.036133,3,3,1,150
0.036275,3,3,3,727
0.037002,1,1,1,727
0.037002,2,2,1,727
0.037677,2,2,3,1239
0.038051,3,3,3,1077
0.038174,2,2,3,347
0.038274,3,3,3,507
0.038916,1,1,1,1239
0.038916,3,3,1,1239
0.039264,1,1,2,347
0.039264,3,3,2,347
0.039994,1,1,2,1077
0.039994,2,2,2,1077
0.040502,1,1,1,507
0.040502,2,2,1,507
0.041001,2,2,3,176
0.041177,1,1,1,176
0.041177,3,3,1,176
0.041283,2,2,3,1028
0.041296,3,3,3,851
0.041366,2,2,3,795
0.042311,1,1,1,1028
0.042311,3,3,1,1028
0.043107,1,1,2,795
0.043107,3,3,2,795
0.043118,1,1,3,70
0.043163,1,1,2,851
0.043163,2,2,2,851
0.043188,3,3,2,70
0.043188,2,2,2,70
0.043404,2,2,3,898
0.044302,1,1,1,898
0.044302,3,3,1,898
0.044918,1,1,3,591
0.044936,2,2,3,1432
0.045002,2,2,3,63
0.045509,3,3,1,591
0.045509,2,2,1,591
0.045596,3,3,3,296
0.045743,1,1,3,333
0.045832,3,3,3,1370
0.045873,3,3,3,640
0.045873,3,3,4,640
0.046064,3,3,3,403
0.046064,3,3,4,403
0.046510,3,3,3,956
0.046510,3,3,4,956
0.046942,1,1,1,1432
0.046942,3,3,1,1432
0.047006,1,1,2,63
0.047006,3,3,2,63
0.047239,1,1,2,296
0.047239,2,2,2,296
0.047276,3,3,2,333
0.047276,2,2,2,333
0.047280,3,3,3,289
0.048531,3,3,3,88
0.048610,1,1,2,1370
0.048610,2,2,2,1370
0.048624,1,1,3,1443
0.048721,3,3,3,544
0.048900,1,1,1,289
0.048900,2,2,1,289
0.048989,1,1,2,88
0.048989,2,2,2,88
0.049021,1,1,3,1229
0.049534,1,1,2,544
0.049534,2,2,2,544
0.050344,3,3,2,1443
0.050344,2,2,2,1443
0.050797,2,2,3,274
0.051069,3,3,3,1412
0.051071,1,1,2,274
0.051071,3,3,2,274
0.051176,3,3,3,998
0.051574,3,3,2,1229
0.051574,2,2,2,1229
0.052791,2,2,3,521
0.052987,1,1,1,1412
0.052987,2,2,1,1412
0.053306,2,2,3,884
0.053497,1,1,3,282
0.053509,1,1,2,521
0.053509,3,3,2,521
0.053986,1,1,2,998
0.053986,2,2,2,998
0.054349,2,2,3,617
0.054394,1,1,2,884
0.054394,3,3,2,884
0.054510,3,3,3,758
0.054637,1,1,3,542
0.054677,3,3,2,282
0.054677,2,2,2,282
0.055012,1,1,2,617
0.055012,3,3,2,617
0.055177,3,3,3,390
0.055220,3,3,2,542
0.055220,2,2,2,542
0.055852,2,2,3,50
0.055979,1,1,1,758
0.055979,2,2,1,758
0.056030,1,1,2,50
0.056030,3,3,2,50
0.056370,1,1,2,390
0.056370,2,2,2,390
0.056645,3,3,3,512
0.056729,3,3,3,433
0.057157,1,1,1,512
0.057157,2,2,1,512
0.057219,3,3,3,1393
0.057591,1,1,1,433
0.057591,2,2,1,433
0.057883,1,1,3,443
0.057994,3,3,3,1384
0.058269,2,2,3,919
0.058326,3,3,2,443
0.058326,2,2,2,443
0.058678,1,1,3,586
0.058985,1,1,2,1393
0.058985,2,2,2,1393
0.059188,1,1,2,919
0.059188,3,3,2,919
0.059264,3,3,2,586
0.059264,2,2,2,586
0.059634,1,1,3,961
0.059636,1,1,3,307
0.059788,3,3,3,374
0.060363,1,1,3,573
0.060370,1,1,2,1384
0.060370,2,2,2,1384
0.060514,2,2,3,843
0.060595,3,3,2,961
0.060595,2,2,2,961
0.060745,1,1,2,374
0.060745,2,2,2,374
0.060903,3,3,2,307
0.060903,2,2,2,307
0.061357,1,1,2,843
0.061357,3,3,2,843
0.061470,2,2,3,606
0.061477,3,3,2,573
0.061477,2,2,2,573
0.061600,3,3,3,629
0.062076,1,1,2,606
0.062076,3,3,2,606
0.062229,1,1,2,629
0.062229,2,2,2,629
0.063538,3,3,3,99
0.063631,2,2,3,402
0.063637,1,1,1,99
0.063637,2,2,1,99
0.063937,2,2,3,785
0.064040,1,1,1,402
0.064040,3,3,1,402
0.064083,1,1,3,834
0.064590,3,3,3,1294
0.064826,1,1,1,785
0.064826,3,3,1,785
0.065130,2,2,3,478
0.065661,3,3,2,834
0.065661,2,2,2,834
0.065809,3,3,3,1187
0.066121,1,1,2,1294
0.066121,2,2,2,1294
0.066253,2,2,3,1192
0.066598,1,1,3,1459
0.066600,1,1,2,478
0.066600,3,3,2,478
0.066625,2,2,3,151
0.067309,1,1,2,1187
0.067309,2,2,2,1187
0.067793,1,1,2,1192
0.067793,3,3,2,1192
0.067945,1,1,2,151
0.067945,3,3,2,151
0.068388,1,1,3,1441
0.068934,2,2,3,1001
0.069052,3,3,2,1459
0.069052,2,2,2,1459
0.069306,1,1,3,337
0.069522,3,3,3,35
0.069557,1,1,2,35
0.069557,2,2,2,35
0.069613,2,2,3,786
0.069796,2,2,3,202
0.069935,1,1,2,1001
0.069935,3,3,2,1001
0.070494,3,3,2,1441
0.070494,2,2,2,1441
0.070722,1,1,2,786
0.070722,3,3,2,786
0.070832,3,3,2,337
0.070832,2,2,2,337
0.070925,1,1,2,202
0.070925,3,3,2,202
0.071562,1,1,3,1280
0.071667,2,2,3,1429
0.071856,2,2,3,1251
0.072148,1,1,3,148
0.072612,3,3,3,679
0.072722,1,1,3,1262
0.072758,2,2,3,776
0.072758,2,2,4,776
0.072842,3,3,1,1280
0.072842,2,2,1,1280
0.072978,1,1,3,528
0.072991,3,3,2,148
0.072991,2,2,2,148
0.073522,1,1,2,679
0.073522,2,2,2,679
0.074254,3,3,2,1262
0.074254,2,2,2,1262
0.074272,1,1,2,1429
0.074272,3,3,2,1429
0.074637,2,2,3,430
0.074670,2,2,3,90
0.074783,3,3,2,528
0.074783,2,2,2,528
0.075418,3,3,3,829
0.075524,1,1,2,1251
0.075524,3,3,2,1251
0.075955,1,1,2,430
0.075955,3,3,2,430
0.076046,1,1,2,90
0.076046,3,3,2,90
0.076247,1,1,2,829
0.076247,2,2,2,829
0.076647,1,1,3,1372
0.076711,2,2,3,92
0.078019,3,3,1,1372
0.078019,2,2,1,1372
0.078112,1,1,1,92
0.078112,3,3,1,92
0.079180,2,2,3,1033
0.080213,1,1,1,1033
0.080213,3,3,1,1033
0.080647,3,3,3,1049
0.080944,1,1,3,946
0.081082,2,2,3,800
0.081498,2,2,3,870
0.081514,2,2,3,248
0.081514,2,2,4,248
0.081696,1,1,1,1049
0.081696,2,2,1,1049
0.081776,1,1,3,1160
0.082238,2,2,3,515
0.082497,1,1,2,800
0.082497,3,3,2,800
0.082643,3,3,2,946
0.082643,2,2,2,946
0.083368,1,1,2,870
0.083368,3,3,2,870
0.083804,3,3,2,1160
0.083804,2,2,2,1160
0.083884,1,1,2,515
0.083884,3,3,2,515
0.083969,2,2,3,91
0.084039,1,1,3,1434
0.084060,1,1,1,91
0.084060,3,3,1,91
0.084288,2,2,3,596
0.084650,1,1,3,451
0.084808,3,3,3,374
0.084896,3,3,3,288
0.085495,3,3,1,1434
0.085495,2,2,1,1434
0.085708,2,2,3,133
0.085811,1,1,3,501
0.085870,1,1,2,374
0.085870,2,2,2,374
0.085947,3,3,2,451
0.085947,2,2,2,451
0.086092,1,1,2,596
0.086092,3,3,2,596
0.086159,1,1,2,288
0.086159,2,2,2,288
0.086218,3,3,3,174
0.086226,1,1,2,133
0.086226,3,3,2,133
0.086392,1,1,2,174
0.086392,2,2,2,174
0.086449,3,3,2,501
0.086449,2,2,2,501
0.086630,2,2,3,709
0.086767,1,1,3,1426
0.087339,1,1,1,709
0.087339,3,3,1,709
0.087519,1,1,3,716
0.088766,3,3,1,1426
0.088766,2,2,1,1426
0.089483,3,3,2,716
0.089483,2,2,1,716
0.089667,1,1,3,641
0.089912,2,2,3,1081
0.090308,3,3,1,641
0.090308,2,2,1,641
0.090309,1,1,3,1345
0.090492,3,3,3,568
0.091060,1,1,2,568
0.091060,2,2,2,568
0.091390,1,1,2,1081
0.091390,3,3,2,1081
0.091654,3,3,2,1345
0.091654,2,2,2,1345
0.092068,1,1,3,944
0.092190,1,1,3,153
0.093012,3,3,1,944
0.093012,2,2,1,944
0.093166,3,3,2,153
0.093166,2,2,2,153
0.093926,2,2,3,119
0.093940,2,2,3,594
0.094045,1,1,1,119
0.094045,3,3,1,119
0.094640,1,1,1,594
0.094640,3,3,1,594
0.094665,1,1,3,673
0.095247,2,2,3,867
0.095338,3,3,1,673
0.095338,2,2,1,673
0.095862,1,1,3,636
0.096206,1,1,1,867
0.096206,3,3,1,867
0.096683,1,1,3,1444
0.096843,3,3,1,636
0.096843,2,2,1,636
0.097048,3,3,3,1142
0.097222,1,1,3,544
0.097278,2,2,3,1265
0.097340,1,1,3,1321
0.098056,3,3,3,999
0.098282,3,3,3,600
0.098282,3,3,4,600
0.098288,3,3,2,1444
0.098288,2,2,2,1444
0.098413,1,1,3,92
0.098543,1,1,2,1265
0.098543,3,3,2,1265
0.098696,3,3,3,340
0.098833,3,3,2,544
0.098833,2,2,2,544
0.098979,3,3,3,315
0.098979,3,3,4,315
0.099440,2,2,3,812
0.099457,1,1,2,1142
0.099457,2,2,2,1142
0.099733,2,2,3,1444
0.099827,3,3,3,244
0.100155,3,3,2,1321
0.100155,2,2,2,1321
0.100248,3,3,2,92
0.100248,2,2,2,92
0.100252,1,1,2,812
0.100252,3,3,2,812
0.100457,1,1,2,999
0.100457,2,2,2,999
0.100757,3,3,3,1003
0.100798,1,1,2,340
0.100798,2,2,2,340
0.101043,1,1,2,244
0.101043,2,2,2,244
0.101697,1,1,2,1444
0.101697,3,3,2,1444
0.102047,1,1,2,1003
0.102047,2,2,2,1003
0.103691,1,1,3,739
0.104430,3,3,1,739
0.104430,2,2,1,739
0.104508,3,3,3,492
0.105000,1,1,1,492
0.105000,2,2,1,492
0.105741,3,3,3,744
0.106485,1,1,1,744
0.106485,2,2,1,744
0.107008,2,2,3,320
0.107328,1,1,1,320
0.107328,3,3,1,320
0.107721,3,3,3,344
0.108065,1,1,1,344
0.108065,2,2,1,344
