time,src,dst,event,size
0.003411,3,3,3,402
0.003813,1,1,1,402
0.003813,2,2,1,402
0.007885,3,3,3,610
0.008495,1,1,1,610
0.008495,2,2,1,610
0.008866,2,2,3,465
0.009331,1,1,1,465
0.009331,3,3,1,465
0.011629,1,1,3,865
0.012494,3,3,1,865
0.012494,2,2,1,865
0.012913,2,2,3,753
0.013666,1,1,1,753
0.013666,3,3,1,753
0.014982,2,2,3,1111
0.016093,1,1,1,1111
0.016093,3,3,1,1111
0.017458,3,3,3,390
0.017848,1,1,1,390
0.017848,2,2,1,390
0.021002,2,2,3,1435
0.022437,1,1,1,1435
0.022437,3,3,1,1435
0.026549,1,1,3,1320
0.027869,3,3,1,1320
0.027869,2,2,1,1320
0.028869,1,1,3,1074
0.029943,3,3,1,1074
0.029943,2,2,1,1074
0.031389,2,2,3,1009
0.032398,1,1,1,1009
0.032398,3,3,1,1009
0.032490,3,3,3,176
0.032666,1,1,1,176
0.032666,2,2,1,176
0.035382,2,2,3,904
0.036049,3,3,3,1412
0.036286,1,1,1,904
0.036287,3,3,1,904
0.037700,1,1,1,1412
0.037700,2,2,1,1412
0.040100,3,3,3,1268
0.041368,1,1,1,1268
0.041368,2,2,1,1268
0.041986,3,3,3,1182
0.043168,1,1,1,1182
0.043168,2,2,1,1182
0.043188,1,1,3,52
0.043240,3,3,1,52
0.043240,2,2,1,52
0.046959,3,3,3,602
0.047561,1,1,1,602
0.047561,2,2,1,602
0.050645,2,2,3,986
0.050652,2,2,3,737
0.051138,1,1,3,380
0.051631,1,1,1,986
0.051631,3,3,1,986
0.052012,3,3,2,380
0.052012,2,2,2,380
0.052369,1,1,2,737
0.052369,3,3,2,737
0.053596,1,1,3,1275
0.054871,3,3,1,1275
0.054871,2,2,1,1275
0.054921,1,1,3,842
0.055763,3,3,1,842
0.055763,2,2,1,842
0.056625,1,1,3,1414
0.057847,3,3,3,672
0.058039,3,3,1,1414
0.058039,2,2,1,1414
0.058371,3,3,3,489
0.058712,1,1,1,672
0.058712,2,2,1,672
0.059202,1,1,2,489
0.059202,2,2,2,489
0.062803,3,3,3,1364
0.063289,2,2,3,819
0.063525,3,3,3,814
