time,src,dst,event,size
0.000895,3,3,3,402
0.001297,1,1,1,402
0.001297,2,2,1,402
0.002068,3,3,3,610
0.002326,2,2,3,465
0.002678,1,1,1,610
0.002678,2,2,1,610
0.003050,1,1,3,865
0.003144,1,1,1,465
0.003144,3,3,1,465
0.003387,2,2,3,753
0.003930,2,2,3,1111
0.004010,3,3,1,865
0.004010,2,2,1,865
0.004579,3,3,3,390
0.004764,1,1,1,753
0.004764,3,3,1,753
0.005155,1,1,2,390
0.005155,2,2,2,390
0.005509,2,2,3,1435
0.005876,1,1,2,1111
0.005876,3,3,2,1111
0.006964,1,1,3,1320
0.007312,1,1,1,1435
0.007312,3,3,1,1435
0.007572,1,1,3,1074
0.008233,2,2,3,1009
0.008522,3,3,3,176
0.008633,3,3,1,1320
0.008633,2,2,1,1320
0.008810,1,1,2,176
0.008810,2,2,2,176
0.009281,2,2,3,904
0.009455,3,3,3,1412
0.009643,1,1,2,1009
0.009643,3,3,2,1009
0.009708,3,3,2,1074
0.009708,2,2,2,1074
0.010518,3,3,3,1268
0.010548,1,1,2,904
0.010548,3,3,2,904
0.010867,1,1,2,1412
0.010867,2,2,2,1412
0.011013,3,3,3,1182
0.011328,1,1,3,52
0.012136,1,1,1,1268
0.012136,2,2,1,1268
0.012189,3,3,2,52
0.012189,2,2,2,52
0.012317,3,3,3,602
0.013284,2,2,3,986
0.013286,2,2,3,737
0.013319,1,1,2,1182
0.013319,2,2,2,1182
0.013413,1,1,3,380
0.013922,1,1,2,602
0.013922,2,2,2,602
0.014058,1,1,3,1275
0.014306,1,1,2,986
0.014306,3,3,2,986
0.014406,1,1,3,842
0.014687,3,3,2,380
0.014687,2,2,2,380
0.014853,1,1,3,1414
0.015044,1,1,2,737
0.015044,3,3,2,737
0.015173,3,3,3,672
0.015310,3,3,3,489
0.015963,3,3,2,1275
0.015963,2,2,2,1275
0.016450,1,1,2,672
0.016450,2,2,2,672
0.016473,3,3,3,1364
0.016600,2,2,3,819
0.016662,3,3,3,814
0.016806,3,3,2,842
0.016806,2,2,2,842
0.016940,1,1,2,489
0.016940,2,2,2,489
0.017419,1,1,2,819
0.017419,3,3,2,819
0.017517,1,1,3,804
0.018221,3,3,2,1414
0.018221,2,2,2,1414
0.018305,1,1,2,1364
0.018305,2,2,2,1364
0.018610,2,2,3,893
0.019026,3,3,2,804
0.019026,2,2,2,804
0.019120,1,1,2,814
0.019120,2,2,2,814
0.019424,3,3,3,667
0.019503,1,1,2,893
0.019503,3,3,2,893
0.020063,2,2,3,582
0.020091,1,1,2,667
0.020091,2,2,2,667
0.020645,1,1,2,582
0.020645,3,3,2,582
0.020911,3,3,3,447
0.021255,3,3,3,299
0.021358,1,1,1,447
0.021358,2,2,1,447
0.021468,2,2,3,970
0.021658,1,1,2,299
0.021658,2,2,2,299
0.022438,1,1,2,970
0.022438,3,3,2,970
0.022529,2,2,3,160
0.022689,1,1,1,160
0.022689,3,3,1,160
0.022810,3,3,3,1284
0.022959,1,1,3,1235
0.024094,1,1,1,1284
0.024094,2,2,1,1284
0.024852,2,2,3,1350
0.025330,3,3,1,1235
0.025330,2,2,1,1235
0.026127,2,2,3,591
0.026681,1,1,1,1350
0.026681,3,3,1,1350
0.026704,1,1,3,426
0.027022,3,3,3,1245
0.027130,3,3,2,426
0.027130,2,2,2,426
0.027273,1,1,2,591
0.027273,3,3,2,591
0.028130,2,2,3,874
0.028267,1,1,2,1245
0.028267,2,2,2,1245
0.029004,1,1,2,874
0.029004,3,3,2,874
0.029441,1,1,3,860
0.030301,3,3,1,860
0.030301,2,2,1,860
0.030423,1,1,3,975
0.030717,3,3,3,1341
0.031398,3,3,1,975
0.031398,2,2,1,975
0.032740,1,1,1,1341
0.032740,2,2,1,1341
0.033033,2,2,3,150
0.033183,1,1,1,150
0.033184,3,3,1,150
0.033302,3,3,3,727
0.034029,1,1,1,727
0.034029,2,2,1,727
0.034589,2,2,3,1239
0.034932,3,3,3,1077
0.035045,2,2,3,347
0.035136,3,3,3,507
0.035828,1,1,1,1239
0.035828,3,3,1,1239
0.036176,1,1,2,347
0.036176,3,3,2,347
0.036906,1,1,2,1077
0.036906,2,2,2,1077
0.037414,1,1,1,507
0.037414,2,2,1,507
0.037640,2,2,3,176
0.037816,1,1,1,176
0.037816,3,3,1,176
0.037899,2,2,3,1028
0.037911,3,3,3,851
0.037975,2,2,3,795
0.038927,1,1,1,1028
0.038927,3,3,1,1028
0.039584,1,1,3,70
0.039654,3,3,2,70
0.039654,2,2,2,70
0.039723,1,1,2,795
0.039723,3,3,2,795
0.039779,1,1,2,851
0.039779,2,2,2,851
0.039846,2,2,3,898
0.040744,1,1,1,898
0.040744,3,3,1,898
0.041236,1,1,3,591
0.041253,2,2,3,1432
0.041313,2,2,3,63
0.041827,3,3,1,591
0.041827,2,2,1,591
0.041858,3,3,3,296
0.041994,1,1,3,333
0.042075,3,3,3,1370
0.042113,3,3,3,640
0.042113,3,3,4,640
0.042289,3,3,3,403
0.042289,3,3,4,403
0.042698,3,3,3,956
0.042698,3,3,4,956
0.043260,1,1,1,1432
0.043260,3,3,1,1432
0.043324,1,1,2,63
0.043324,3,3,2,63
0.043405,3,3,3,289
0.043557,1,1,2,296
0.043557,2,2,2,296
0.043594,3,3,2,333
0.043594,2,2,2,333
0.044553,3,3,3,88
0.044638,1,1,3,1443
0.044727,3,3,3,544
0.044727,3,3,4,544
0.044928,1,1,2,1370
0.044928,2,2,2,1370
0.045003,1,1,3,1229
0.045218,1,1,2,289
0.045218,2,2,2,289
0.045307,1,1,2,88
0.045307,2,2,2,88
0.046081,3,3,2,1443
0.046081,2,2,2,1443
0.046633,2,2,3,274
0.046883,3,3,3,1412
0.046981,3,3,3,998
0.047311,3,3,1,1229
0.047311,2,2,1,1229
0.047586,1,1,2,274
0.047586,3,3,2,274
0.048464,2,2,3,521
0.048724,1,1,2,1412
0.048724,2,2,2,1412
0.048937,2,2,3,884
0.048985,1,1,2,521
0.048985,3,3,2,521
0.049112,1,1,3,282
0.049394,3,3,2,282
0.049394,2,2,2,282
0.049723,1,1,2,998
0.049723,2,2,2,998
0.049870,1,1,2,884
0.049870,3,3,2,884
0.049894,2,2,3,617
0.050042,3,3,3,758
0.050158,1,1,3,542
0.050511,1,1,1,617
0.050511,3,3,1,617
0.050654,3,3,3,390
0.051054,3,3,2,542
0.051054,2,2,2,542
0.051270,1,1,2,758
0.051270,2,2,2,758
0.051274,2,2,3,50
0.051324,1,1,2,50
0.051324,3,3,2,50
0.051661,1,1,2,390
0.051661,2,2,2,390
0.052002,3,3,3,512
0.052079,3,3,3,433
0.052514,1,1,1,512
0.052514,2,2,1,512
0.052529,3,3,3,1393
0.052948,1,1,2,433
0.052948,2,2,1,433
0.053139,1,1,3,443
0.053241,3,3,3,1384
0.053493,2,2,3,919
0.053868,1,1,3,586
0.054342,1,1,2,1393
0.054342,2,2,2,1393
0.054412,1,1,2,919
0.054412,3,3,2,919
0.054746,1,1,3,961
0.054748,1,1,3,307
0.054748,1,1,4,307
0.054863,3,3,2,443
0.054863,2,2,2,443
0.054887,3,3,3,374
0.055415,1,1,3,573
0.055450,3,3,2,586
0.055450,2,2,2,586
0.055554,2,2,3,843
0.055727,1,1,2,1384
0.055727,2,2,2,1384
0.056102,1,1,2,374
0.056102,2,2,2,374
0.056397,1,1,2,843
0.056397,3,3,2,843
0.056412,3,3,2,961
0.056412,2,2,2,961
0.056431,2,2,3,606
0.056550,3,3,3,629
0.056986,3,3,1,573
0.056986,2,2,1,573
0.057593,1,1,2,606
0.057593,3,3,2,606
0.057616,1,1,2,629
0.057616,2,2,2,629
0.058330,3,3,3,99
0.058415,2,2,3,402
0.058429,1,1,1,99
0.058429,2,2,1,99
0.058696,2,2,3,785
0.058830,1,1,3,834
0.058832,1,1,1,402
0.058832,3,3,1,402
0.059296,3,3,3,1294
0.059618,1,1,2,785
0.059618,3,3,2,785
0.059667,3,3,2,834
0.059667,2,2,2,834
0.059791,2,2,3,478
0.060269,1,1,2,478
0.060269,3,3,2,478
0.060414,3,3,3,1187
0.060590,1,1,2,1294
0.060590,2,2,2,1294
0.060823,2,2,3,1192
0.061139,1,1,3,1459
0.061164,2,2,3,151
0.061778,1,1,1,1187
0.061778,2,2,1,1187
0.062783,1,1,3,1441
0.062971,1,1,2,1192
0.062971,3,3,2,1192
0.063123,1,1,2,151
0.063123,3,3,2,151
0.063238,3,3,2,1459
0.063238,2,2,2,1459
0.063284,2,2,3,1001
0.063625,1,1,3,337
0.063824,3,3,3,35
0.063907,2,2,3,786
0.064075,2,2,3,202
0.064075,2,2,4,202
0.064680,3,3,1,1441
0.064680,2,2,1,1441
0.064716,1,1,2,35
0.064716,2,2,2,35
0.065018,3,3,2,337
0.065018,2,2,2,337
0.065682,1,1,2,1001
0.065682,3,3,2,1001
0.065696,1,1,3,1280
0.065793,2,2,3,1429
0.065966,2,2,3,1251
0.066235,1,1,3,148
0.066469,1,1,1,786
0.066469,3,3,1,786
0.066660,3,3,3,679
0.066761,1,1,3,1262
0.066794,2,2,3,776
0.066996,1,1,3,528
0.066996,1,1,4,528
0.067750,3,3,2,1280
0.067750,2,2,2,1280
0.067899,1,1,2,1429
0.067899,3,3,2,1429
0.067899,3,3,2,148
0.067899,2,2,2,148
0.068519,2,2,3,430
0.068550,2,2,3,90
0.068550,2,2,4,90
0.068579,1,1,2,679
0.068579,2,2,2,679
0.069151,1,1,2,1251
0.069151,3,3,2,1251
0.069162,3,3,2,1262
0.069162,2,2,2,1262
0.069237,3,3,3,829
0.069928,1,1,2,776
0.069928,3,3,2,776
0.070066,1,1,2,829
0.070066,2,2,2,829
0.070359,1,1,2,430
0.070359,3,3,2,430
0.070364,1,1,3,1372
0.070423,2,2,3,92
0.071736,3,3,1,1372
0.071736,2,2,1,1372
0.071829,1,1,1,92
0.071829,3,3,1,92
0.072690,2,2,3,1033
0.073723,1,1,1,1033
0.073723,3,3,1,1033
0.074037,3,3,3,1049
0.074309,1,1,3,946
0.074436,2,2,3,800
0.074818,2,2,3,870
0.074833,2,2,3,248
0.074833,2,2,4,248
0.075073,1,1,3,1160
0.075086,1,1,1,1049
0.075086,2,2,1,1049
0.075498,2,2,3,515
0.075887,1,1,2,800
0.075887,3,3,2,800
0.076033,3,3,2,946
