time,src,dst,event,size
0.009095,3,3,3,402
0.009497,1,1,1,402
0.009497,2,2,1,402
0.021028,3,3,3,610
0.021638,1,1,1,610
0.021638,2,2,1,610
0.023644,2,2,3,465
0.024109,1,1,1,465
0.024109,3,3,1,465
0.031010,1,1,3,865
0.031875,3,3,1,865
0.031875,2,2,1,865
0.034434,2,2,3,753
0.035187,1,1,1,753
0.035187,3,3,1,753
0.039952,2,2,3,1111
0.041063,1,1,1,1111
0.041063,3,3,1,1111
0.046554,3,3,3,390
0.046944,1,1,1,390
0.046944,2,2,1,390
0.056007,2,2,3,1435
0.057442,1,1,1,1435
0.057442,3,3,1,1435
0.070797,1,1,3,1320
0.072117,3,3,1,1320
0.072117,2,2,1,1320
0.076985,1,1,3,1074
0.078059,3,3,1,1074
0.078059,2,2,1,1074
0.083704,2,2,3,1009
0.084713,1,1,1,1009
0.084713,3,3,1,1009
0.086639,3,3,3,176
0.086815,1,1,1,176
0.086815,2,2,1,176
0.094353,2,2,3,904
0.095257,1,1,1,904
0.095257,3,3,1,904
0.096130,3,3,3,1412
0.097542,1,1,1,1412
0.097542,2,2,1,1412
0.106933,3,3,3,1268
0.108201,1,1,1,1268
0.108201,2,2,1,1268
0.111963,3,3,3,1182
0.113145,1,1,1,1182
0.113145,2,2,1,1182
0.115169,1,1,3,52
0.115221,3,3,1,52
0.115221,2,2,1,52
0.125223,3,3,3,602
0.125825,1,1,1,602
0.125825,2,2,1,602
0.135053,2,2,3,986
0.135072,2,2,3,737
0.136039,1,1,1,986
0.136039,3,3,1,986
0.136367,1,1,3,380
0.136747,3,3,2,380
0.136747,2,2,2,380
0.136777,1,1,2,737
0.136777,3,3,2,737
0.142923,1,1,3,1275
0.144198,3,3,1,1275
0.144198,2,2,1,1275
0.146457,1,1,3,842
0.147299,3,3,1,842
0.147299,2,2,1,842
0.151000,1,1,3,1414
0.152414,3,3,1,1414
0.152414,2,2,1,1414
0.154258,3,3,3,672
0.154930,1,1,1,672
0.154930,2,2,1,672
0.155656,3,3,3,489
0.156145,1,1,1,489
0.156145,2,2,1,489
0.167475,3,3,3,1364
0.168771,2,2,3,819
0.168839,1,1,1,1364
0.168839,2,2,1,1364
0.169400,3,3,3,814
0.169659,1,1,1,819
0.169659,3,3,1,819
0.170474,1,1,1,814
0.170474,2,2,1,814
0.178092,1,1,3,804
0.178896,3,3,1,804
0.178896,2,2,1,804
0.189206,2,2,3,893
0.190099,1,1,1,893
0.190099,3,3,1,893
0.197475,3,3,3,667
0.198142,1,1,1,667
0.198142,2,2,1,667
0.203969,2,2,3,582
0.204551,1,1,1,582
0.204551,3,3,1,582
0.212592,3,3,3,447
0.213039,1,1,1,447
0.213039,2,2,1,447
0.216092,3,3,3,299
0.216391,1,1,1,299
0.216391,2,2,1,299
0.218256,2,2,3,970
0.219226,1,1,1,970
0.219226,3,3,1,970
0.229044,2,2,3,160
0.229204,1,1,1,160
0.229204,3,3,1,160
0.231904,3,3,3,1284
0.233188,1,1,1,1284
0.233188,2,2,1,1284
0.233421,1,1,3,1235
0.234656,3,3,1,1235
0.234656,2,2,1,1235
0.252664,2,2,3,1350
0.254014,1,1,1,1350
0.254014,3,3,1,1350
0.265627,2,2,3,591
0.266218,1,1,1,591
0.266218,3,3,1,591
0.271496,1,1,3,426
0.271922,3,3,1,426
0.271922,2,2,1,426
