time,src,dst,event,size
0.001070,3,3,3,402
0.001472,1,1,1,402
0.001472,2,2,1,402
0.002474,3,3,3,610
0.002782,2,2,3,465
0.003084,1,1,1,610
0.003084,2,2,1,610
0.003550,1,1,1,465
0.003550,3,3,1,465
0.003648,1,1,3,865
0.004051,2,2,3,753
0.004513,3,3,1,865
0.004513,2,2,1,865
0.004700,2,2,3,1111
0.005267,1,1,1,753
0.005267,3,3,1,753
0.005477,3,3,3,390
0.006379,1,1,2,1111
0.006379,3,3,1,1111
0.006589,2,2,3,1435
0.006770,1,1,1,390
0.006770,2,2,1,390
0.008206,1,1,1,1435
0.008206,3,3,1,1435
0.008329,1,1,3,1320
0.009057,1,1,3,1074
0.009649,3,3,1,1320
0.009649,2,2,1,1320
0.009848,2,2,3,1009
0.010193,3,3,3,176
0.010369,1,1,2,176
0.010369,2,2,2,176
0.010724,3,3,2,1074
0.010724,2,2,2,1074
0.010857,1,1,2,1009
0.010857,3,3,2,1009
0.011100,2,2,3,904
0.011309,3,3,3,1412
0.012004,1,1,1,904
0.012004,3,3,1,904
0.012580,3,3,3,1268
0.013172,3,3,3,1182
0.013417,1,1,1,1412
0.013417,2,2,1,1412
0.013549,1,1,3,52
0.014686,1,1,1,1268
0.014686,2,2,2,1268
0.014732,3,3,3,602
0.014739,3,3,2,52
0.014739,2,2,2,52
0.015869,1,1,2,1182
0.015869,2,2,2,1182
0.015889,2,2,3,986
0.015891,2,2,3,737
0.016043,1,1,3,380
0.016472,1,1,2,602
0.016472,2,2,2,602
0.016814,1,1,3,1275
0.016875,1,1,2,986
0.016875,3,3,2,986
0.017230,1,1,3,842
0.017256,3,3,2,380
0.017256,2,2,2,380
0.017613,1,1,2,737
0.017613,3,3,2,737
0.017765,1,1,3,1414
0.018148,3,3,3,672
0.018312,3,3,3,489
0.018532,3,3,2,1275
0.018532,2,2,2,1275
0.019019,1,1,2,672
0.019019,2,2,2,672
0.019375,3,3,2,842
0.019375,2,2,2,842
0.019509,1,1,2,489
0.019509,2,2,2,489
0.019703,3,3,3,1364
0.019855,2,2,3,819
0.019929,3,3,3,814
0.020674,1,1,2,819
0.020674,3,3,2,819
0.020790,3,3,2,1414
0.020790,2,2,2,1414
0.020952,1,1,3,804
0.021067,1,1,2,1364
0.021067,2,2,2,1364
0.021756,3,3,2,804
0.021756,2,2,2,804
0.021882,1,1,2,814
0.021882,2,2,2,814
0.022260,2,2,3,893
0.023153,1,1,1,893
0.023153,3,3,1,893
0.023232,3,3,3,667
0.023899,1,1,1,667
0.023899,2,2,1,667
0.023996,2,2,3,582
0.024578,1,1,1,582
0.024578,3,3,1,582
0.025011,3,3,3,447
0.025423,3,3,3,299
0.025458,1,1,1,447
0.025458,2,2,1,447
0.025677,2,2,3,970
0.025758,1,1,2,299
0.025758,2,2,2,299
0.026647,1,1,2,970
0.026647,3,3,2,970
0.026946,2,2,3,160
0.027106,1,1,1,160
0.027106,3,3,1,160
0.027283,3,3,3,1284
0.027461,1,1,3,1235
0.028567,1,1,1,1284
0.028567,2,2,1,1284
0.029725,2,2,3,1350
0.029803,3,3,1,1235
0.029803,2,2,1,1235
0.031154,1,1,1,1350
0.031154,3,3,1,1350
0.031250,2,2,3,591
0.031841,1,1,1,591
0.031841,3,3,1,591
0.031941,1,1,3,426
0.032320,3,3,3,1245
0.032367,3,3,1,426
0.032367,2,2,1,426
0.033613,1,1,1,1245
0.033613,2,2,1,1245
0.033646,2,2,3,874
0.034520,1,1,1,874
0.034520,3,3,1,874
0.035214,1,1,3,860
0.036074,3,3,1,860
0.036074,2,2,1,860
0.036388,1,1,3,975
0.036740,3,3,3,1341
0.037363,3,3,1,975
0.037363,2,2,1,975
0.038705,1,1,1,1341
0.038705,2,2,1,1341
0.039511,2,2,3,150
0.039661,1,1,1,150
0.039661,3,3,1,150
0.039831,3,3,3,727
0.040558,1,1,1,727
0.040558,2,2,1,727
0.041371,2,2,3,1239
0.041782,3,3,3,1077
0.041917,2,2,3,347
0.042026,3,3,3,507
0.042610,1,1,1,1239
0.042610,3,3,1,1239
0.042958,1,1,2,347
0.042958,3,3,2,347
0.043688,1,1,2,1077
0.043688,2,2,2,1077
0.044196,1,1,1,507
0.044196,2,2,1,507
0.045020,2,2,3,176
0.045196,1,1,1,176
0.045196,3,3,1,176
0.045331,2,2,3,1028
0.045344,3,3,3,851
0.045421,2,2,3,795
0.046359,1,1,1,1028
0.046359,3,3,1,1028
0.047155,1,1,2,795
0.047155,3,3,2,795
0.047211,1,1,2,851
0.047211,2,2,2,851
0.047345,1,1,3,70
0.047415,3,3,1,70
0.047415,2,2,1,70
0.047659,2,2,3,898
0.048557,1,1,1,898
0.048557,3,3,1,898
0.049321,1,1,3,591
0.049341,2,2,3,1432
0.049414,2,2,3,63
0.049912,3,3,1,591
0.049912,2,2,1,591
0.050066,3,3,3,296
0.050228,1,1,3,333
0.050325,3,3,3,1370
0.050371,3,3,3,640
0.050371,3,3,4,640
0.050580,3,3,3,403
0.050580,3,3,4,403
0.051070,3,3,3,956
0.051070,3,3,4,956
0.051345,1,1,1,1432
0.051345,3,3,1,1432
0.051409,1,1,2,63
0.051409,3,3,2,63
0.051642,1,1,2,296
0.051642,2,2,2,296
0.051679,3,3,2,333
0.051679,2,2,2,333
0.051915,3,3,3,289
0.053013,1,1,2,1370
0.053013,2,2,2,1370
0.053289,3,3,3,88
0.053303,1,1,1,289
0.053303,2,2,1,289
0.053391,1,1,3,1443
0.053392,1,1,2,88
0.053392,2,2,2,88
0.053497,3,3,3,544
0.053827,1,1,3,1229
0.054041,1,1,2,544
0.054041,2,2,2,544
0.054834,3,3,2,1443
0.054834,2,2,2,1443
0.055777,2,2,3,274
0.056064,3,3,1,1229
0.056064,2,2,1,1229
0.056076,3,3,3,1412
0.056193,3,3,3,998
0.056339,1,1,1,274
0.056339,3,3,1,274
0.057752,1,1,1,1412
0.057752,2,2,1,1412
0.057966,2,2,3,521
0.058487,1,1,2,521
0.058487,3,3,2,521
0.058532,2,2,3,884
0.058742,1,1,3,282
0.058751,1,1,2,998
0.058751,2,2,2,998
0.059024,3,3,2,282
0.059024,2,2,2,282
0.059416,1,1,2,884
0.059416,3,3,2,884
0.059677,2,2,3,617
0.059854,3,3,3,758
0.059993,1,1,3,542
0.060294,1,1,1,617
0.060294,3,3,1,617
0.060586,3,3,3,390
0.060837,3,3,2,542
0.060837,2,2,2,542
0.061053,1,1,2,758
0.061053,2,2,2,758
0.061328,2,2,3,50
0.061444,1,1,1,390
0.061444,2,2,1,390
0.061495,1,1,1,50
0.061495,3,3,1,50
0.062199,3,3,3,512
0.062290,3,3,3,433
0.062711,1,1,1,512
0.062711,2,2,1,512
0.062829,3,3,3,1393
0.063145,1,1,2,433
0.063145,2,2,2,433
0.063558,1,1,3,443
0.063680,3,3,3,1384
0.063981,2,2,3,919
0.064431,1,1,3,586
0.064539,1,1,1,1393
0.064539,2,2,1,1393
0.064983,3,3,2,443
0.064983,2,2,2,443
0.065459,1,1,2,919
0.065459,3,3,2,919
0.065480,1,1,3,961
0.065483,1,1,3,307
0.065570,3,3,2,586
0.065570,2,2,2,586
0.065650,3,3,3,374
0.065924,1,1,2,1384
0.065924,2,2,2,1384
0.066281,1,1,3,573
0.066299,1,1,2,374
0.066299,2,2,2,374
0.066447,2,2,3,843
0.066532,3,3,2,961
0.066532,2,2,2,961
0.066840,3,3,2,307
0.066840,2,2,2,307
0.067290,1,1,2,843
0.067290,3,3,2,843
0.067414,3,3,2,573
0.067414,2,2,2,573
0.067496,2,2,3,606
0.067639,3,3,3,629
0.068102,1,1,1,606
0.068102,3,3,1,606
0.068732,1,1,1,629
0.068732,2,2,1,629
0.069767,3,3,3,99
0.069866,1,1,1,99
0.069866,2,2,1,99
0.069869,2,2,3,402
0.070205,2,2,3,785
0.070271,1,1,1,402
0.070271,3,3,1,402
0.070365,1,1,3,834
0.070922,3,3,3,1294
0.071057,1,1,2,785
0.071057,3,3,2,785
0.071199,3,3,2,834
0.071199,2,2,2,834
0.071515,2,2,3,478
0.071993,1,1,2,478
0.071993,3,3,2,478
0.072216,1,1,2,1294
0.072216,2,2,2,1294
0.072260,3,3,3,1187
0.072749,2,2,3,1192
0.073127,1,1,3,1459
0.073157,2,2,3,151
0.073447,1,1,1,1187
0.073447,2,2,1,1187
0.074640,1,1,2,1192
0.074640,3,3,2,1192
0.074792,1,1,2,151
0.074792,3,3,2,151
0.074907,3,3,2,1459
0.074907,2,2,2,1459
0.075093,1,1,3,1441
0.075692,2,2,3,1001
0.076100,1,1,3,337
0.076338,3,3,3,35
0.076437,2,2,3,786
0.076534,3,3,1,1441
0.076534,2,2,1,1441
0.076570,1,1,2,35
0.076570,2,2,2,35
0.076639,2,2,3,202
0.076872,3,3,2,337
0.076872,2,2,2,337
0.077536,1,1,2,1001
0.077536,3,3,2,1001
0.078323,1,1,1,786
0.078323,3,3,1,786
0.078526,1,1,2,202
0.078526,3,3,2,202
0.078578,1,1,3,1280
0.078693,2,2,3,1429
0.078900,2,2,3,1251
0.079222,1,1,3,148
0.079730,3,3,3,679
0.079852,1,1,3,1262
0.079858,3,3,1,1280
0.079858,2,2,1,1280
0.079891,2,2,3,776
0.080007,3,3,2,148
0.080007,2,2,2,148
0.080132,1,1,3,528
0.080538,1,1,2,679
0.080538,2,2,2,679
0.081270,3,3,2,1262
0.081270,2,2,2,1262
0.081288,1,1,2,1429
0.081288,3,3,2,1429
0.081799,3,3,2,528
0.081799,2,2,2,528
