time,src,dst,event,size
0.001186,3,3,3,402
0.001588,1,1,1,402
0.001588,2,2,1,402
0.002743,3,3,3,610
0.003084,2,2,3,465
0.003353,1,1,1,610
0.003353,2,2,1,610
0.003819,1,1,1,465
0.003819,3,3,1,465
0.004045,1,1,3,865
0.004491,2,2,3,753
0.004910,3,3,1,865
0.004910,2,2,1,865
0.005211,2,2,3,1111
0.005664,1,1,1,753
0.005664,3,3,1,753
0.006072,3,3,3,390
0.006776,1,1,2,1111
0.006776,3,3,1,1111
0.007167,1,1,1,390
0.007167,2,2,1,390
0.007305,2,2,3,1435
0.008740,1,1,1,1435
0.008740,3,3,1,1435
0.009234,1,1,3,1320
0.010041,1,1,3,1074
0.010554,3,3,1,1320
0.010554,2,2,1,1320
0.010918,2,2,3,1009
0.011301,3,3,3,176
0.011477,1,1,2,176
0.011477,2,2,2,176
0.011629,3,3,2,1074
0.011629,2,2,2,1074
0.011927,1,1,2,1009
0.011927,3,3,2,1009
0.012307,2,2,3,904
0.012539,3,3,3,1412
0.013211,1,1,1,904
0.013211,3,3,1,904
0.013948,3,3,3,1268
0.014604,3,3,3,1182
0.014624,1,1,1,1412
0.014624,2,2,1,1412
0.015022,1,1,3,52
0.015893,1,1,1,1268
0.015893,2,2,2,1268
0.015946,3,3,2,52
0.015946,2,2,2,52
0.016333,3,3,3,602
0.017076,1,1,2,1182
0.017076,2,2,2,1182
0.017616,2,2,3,986
0.017618,2,2,3,737
0.017679,1,1,1,602
0.017679,2,2,1,602
0.017787,1,1,3,380
0.018642,1,1,3,1275
0.018666,1,1,1,986
0.018666,3,3,1,986
0.019047,3,3,2,380
0.019047,2,2,2,380
0.019103,1,1,3,842
0.019404,1,1,2,737
0.019404,3,3,2,737
0.019696,1,1,3,1414
0.020121,3,3,3,672
0.020303,3,3,3,489
0.020323,3,3,2,1275
0.020323,2,2,2,1275
0.020810,1,1,2,672
0.020810,2,2,2,672
0.021166,3,3,2,842
0.021166,2,2,2,842
0.021300,1,1,2,489
0.021300,2,2,2,489
0.021845,3,3,3,1364
0.022014,2,2,3,819
0.022096,3,3,3,814
0.022581,3,3,2,1414
0.022581,2,2,2,1414
0.022833,1,1,2,819
0.022833,3,3,2,819
0.023209,1,1,2,1364
0.023209,2,2,2,1364
0.023229,1,1,3,804
0.024024,1,1,1,814
0.024024,2,2,1,814
0.024679,2,2,3,893
0.024829,3,3,1,804
0.024829,2,2,1,804
0.025723,1,1,1,893
0.025723,3,3,1,893
0.025758,3,3,3,667
0.026425,1,1,1,667
0.026425,2,2,1,667
0.026605,2,2,3,582
0.027187,1,1,1,582
0.027187,3,3,1,582
0.027729,3,3,3,447
0.028176,1,1,1,447
0.028176,2,2,1,447
0.028186,3,3,3,299
0.028468,2,2,3,970
0.028485,1,1,1,299
0.028485,2,2,1,299
0.029456,1,1,1,970
0.029456,3,3,1,970
0.029875,2,2,3,160
0.030035,1,1,1,160
0.030035,3,3,1,160
0.030248,3,3,3,1284
0.030446,1,1,3,1235
0.031532,1,1,1,1284
0.031532,2,2,1,1284
0.032768,3,3,1,1235
0.032768,2,2,1,1235
0.032956,2,2,3,1350
0.034306,1,1,1,1350
0.034306,3,3,1,1350
0.034647,2,2,3,591
0.035238,1,1,1,591
0.035238,3,3,1,591
0.035412,1,1,3,426
0.035833,3,3,3,1245
0.035838,3,3,1,426
0.035838,2,2,1,426
0.037084,1,1,1,1245
0.037084,2,2,1,1245
0.037303,2,2,3,874
0.038177,1,1,1,874
0.038177,3,3,1,874
0.039041,1,1,3,860
0.039901,3,3,1,860
0.039901,2,2,1,860
0.040343,1,1,3,975
0.040733,3,3,3,1341
0.041318,3,3,1,975
0.041318,2,2,1,975
0.042660,1,1,1,1341
0.042660,2,2,1,1341
0.043805,2,2,3,150
0.043955,1,1,1,150
0.043955,3,3,1,150
0.044161,3,3,3,727
0.044888,1,1,1,727
0.044888,2,2,1,727
0.045868,2,2,3,1239
0.046323,3,3,3,1077
0.046473,2,2,3,347
0.046594,3,3,3,507
0.047107,1,1,1,1239
0.047107,3,3,1,1239
0.047455,1,1,2,347
0.047455,3,3,2,347
0.048185,1,1,2,1077
0.048185,2,2,2,1077
0.048693,1,1,1,507
0.048693,2,2,1,507
0.049914,2,2,3,176
0.050090,1,1,1,176
0.050090,3,3,1,176
0.050258,2,2,3,1028
0.050273,3,3,3,851
0.050358,2,2,3,795
0.051286,1,1,1,1028
0.051286,3,3,1,1028
0.052082,1,1,2,795
0.052082,3,3,2,795
0.052138,1,1,2,851
0.052138,2,2,2,851
0.052491,1,1,3,70
0.052561,3,3,1,70
0.052561,2,2,1,70
0.052839,2,2,3,898
0.053737,1,1,1,898
0.053737,3,3,1,898
0.054682,1,1,3,591
0.054705,2,2,3,1432
0.054785,2,2,3,63
0.055273,3,3,1,591
0.055273,2,2,1,591
0.055508,3,3,3,296
0.055687,1,1,3,333
0.055795,3,3,3,1370
0.055846,3,3,3,640
0.055846,3,3,4,640
0.056078,3,3,3,403
0.056078,3,3,4,403
0.056621,3,3,3,956
0.056621,3,3,4,956
0.056706,1,1,1,1432
0.056706,3,3,1,1432
0.056770,1,1,2,63
0.056770,3,3,2,63
0.057003,1,1,2,296
0.057003,2,2,2,296
0.057040,3,3,2,333
0.057040,2,2,2,333
0.057558,3,3,3,289
0.058374,1,1,2,1370
0.058374,2,2,2,1370
0.058664,1,1,1,289
0.058664,2,2,1,289
0.059081,3,3,3,88
0.059169,1,1,1,88
0.059169,2,2,1,88
0.059194,1,1,3,1443
0.059312,3,3,3,544
0.059678,1,1,3,1229
0.060637,3,3,1,1443
0.060637,2,2,1,1443
0.061182,1,1,2,544
0.061182,2,2,2,544
0.061839,2,2,3,274
0.061867,3,3,2,1229
0.061867,2,2,2,1229
0.062142,1,1,1,274
0.062142,3,3,1,274
0.062171,3,3,3,1412
0.062301,3,3,3,998
0.063583,1,1,1,1412
0.063583,2,2,1,1412
0.064267,2,2,3,521
