time,src,dst,event,size
0.004961,3,3,3,402
0.005363,1,1,1,402
0.005363,2,2,1,402
0.011470,3,3,3,610
0.012080,1,1,1,610
0.012080,2,2,1,610
0.012897,2,2,3,465
0.013362,1,1,1,465
0.013362,3,3,1,465
0.016915,1,1,3,865
0.017780,3,3,1,865
0.017780,2,2,1,865
0.018782,2,2,3,753
0.019535,1,1,1,753
0.019535,3,3,1,753
0.021792,2,2,3,1111
0.022903,1,1,1,1111
0.022903,3,3,1,1111
0.025393,3,3,3,390
0.025783,1,1,1,390
0.025783,2,2,1,390
0.030549,2,2,3,1435
0.031984,1,1,1,1435
0.031984,3,3,1,1435
0.038616,1,1,3,1320
0.039936,3,3,1,1320
0.039936,2,2,1,1320
0.041992,1,1,3,1074
0.043066,3,3,1,1074
0.043066,2,2,1,1074
0.045657,2,2,3,1009
0.046666,1,1,1,1009
0.046666,3,3,1,1009
0.047258,3,3,3,176
0.047434,1,1,1,176
0.047434,2,2,1,176
0.051465,2,2,3,904
0.052369,1,1,1,904
0.052369,3,3,1,904
0.052435,3,3,3,1412
0.053847,1,1,1,1412
0.053847,2,2,1,1412
0.058327,3,3,3,1268
0.059595,1,1,1,1268
0.059595,2,2,1,1268
0.061071,3,3,3,1182
0.062253,1,1,1,1182
0.062253,2,2,1,1182
0.062819,1,1,3,52
0.062871,3,3,1,52
0.062871,2,2,1,52
0.068304,3,3,3,602
0.068906,1,1,1,602
0.068906,2,2,1,602
0.073665,2,2,3,986
0.073676,2,2,3,737
0.074382,1,1,3,380
0.074651,1,1,1,986
0.074651,3,3,1,986
0.075032,3,3,2,380
0.075032,2,2,2,380
0.075389,1,1,2,737
0.075389,3,3,2,737
0.077958,1,1,3,1275
0.079233,3,3,1,1275
0.079233,2,2,1,1275
0.079886,1,1,3,842
0.080728,3,3,1,842
0.080728,2,2,1,842
0.082364,1,1,3,1414
0.083778,3,3,1,1414
0.083778,2,2,1,1414
0.084141,3,3,3,672
0.084813,1,1,1,672
0.084813,2,2,1,672
0.084903,3,3,3,489
0.085392,1,1,1,489
0.085392,2,2,1,489
0.091350,3,3,3,1364
0.092057,2,2,3,819
0.092400,3,3,3,814
0.092714,1,1,1,1364
0.092714,2,2,1,1364
0.093529,1,1,2,814
0.093529,2,2,2,814
0.093534,1,1,2,819
0.093534,3,3,2,819
0.097141,1,1,3,804
0.097945,3,3,1,804
0.097945,2,2,1,804
0.103203,2,2,3,893
0.104096,1,1,1,893
0.104096,3,3,1,893
0.107714,3,3,3,667
0.108381,1,1,1,667
0.108381,2,2,1,667
0.111256,2,2,3,582
0.111838,1,1,1,582
0.111838,3,3,1,582
0.115960,3,3,3,447
0.116407,1,1,1,447
0.116407,2,2,1,447
0.117868,3,3,3,299
0.118167,1,1,1,299
0.118167,2,2,1,299
