time,src,dst,event,size
0.054571,3,3,3,402
0.054973,1,1,1,402
0.054973,2,2,1,402
0.126167,3,3,3,610
0.126777,1,1,1,610
0.126777,2,2,1,610
0.141863,2,2,3,465
0.142328,1,1,1,465
0.142328,3,3,1,465
0.186061,1,1,3,865
0.186926,3,3,1,865
0.186926,2,2,1,865
0.206603,2,2,3,753
0.207356,1,1,1,753
0.207356,3,3,1,753
0.239709,2,2,3,1111
0.240820,1,1,1,1111
0.240820,3,3,1,1111
0.279321,3,3,3,390
0.279711,1,1,1,390
0.279711,2,2,1,390
0.336039,2,2,3,1435
0.337474,1,1,1,1435
0.337474,3,3,1,1435
0.424780,1,1,3,1320
0.426100,3,3,1,1320
0.426100,2,2,1,1320
0.461908,1,1,3,1074
0.462982,3,3,1,1074
0.462982,2,2,1,1074
0.502227,2,2,3,1009
0.503236,1,1,1,1009
0.503236,3,3,1,1009
0.519834,3,3,3,176
0.520010,1,1,1,176
0.520010,2,2,1,176
0.566120,2,2,3,904
0.567024,1,1,1,904
0.567024,3,3,1,904
0.576781,3,3,3,1412
0.578193,1,1,1,1412
0.578193,2,2,1,1412
0.641600,3,3,3,1268
0.642868,1,1,1,1268
0.642868,2,2,1,1268
0.671777,3,3,3,1182
0.672959,1,1,1,1182
0.672959,2,2,1,1182
0.691011,1,1,3,52
0.691063,3,3,1,52
0.691063,2,2,1,52
0.751339,3,3,3,602
0.751941,1,1,1,602
0.751941,2,2,1,602
0.810317,2,2,3,986
0.810432,2,2,3,737
0.811303,1,1,1,986
0.811303,3,3,1,986
0.812041,1,1,2,737
0.812041,3,3,2,737
0.818203,1,1,3,380
0.818583,3,3,1,380
0.818583,2,2,1,380
0.857537,1,1,3,1275
0.858812,3,3,1,1275
0.858812,2,2,1,1275
0.878741,1,1,3,842
0.879583,3,3,1,842
0.879583,2,2,1,842
0.906003,1,1,3,1414
0.907417,3,3,1,1414
0.907417,2,2,1,1414
0.925548,3,3,3,672
0.926220,1,1,1,672
0.926220,2,2,1,672
0.933934,3,3,3,489
0.934423,1,1,1,489
0.934423,2,2,1,489
1.004850,3,3,3,1364
1.006214,1,1,1,1364
1.006214,2,2,1,1364
1.012626,2,2,3,819
1.013445,1,1,1,819
1.013445,3,3,1,819
1.016397,3,3,3,814
1.017211,1,1,1,814
1.017211,2,2,1,814
1.068549,1,1,3,804
1.069353,3,3,1,804
1.069353,2,2,1,804
1.135235,2,2,3,893
1.136128,1,1,1,893
1.136128,3,3,1,893
1.184850,3,3,3,667
1.185517,1,1,1,667
1.185517,2,2,1,667
1.223815,2,2,3,582
1.224397,1,1,1,582
1.224397,3,3,1,582
1.275555,3,3,3,447
1.276002,1,1,1,447
1.276002,2,2,1,447
1.296552,3,3,3,299
1.296851,1,1,1,299
1.296851,2,2,1,299
1.309535,2,2,3,970
1.310505,1,1,1,970
1.310505,3,3,1,970
1.374263,2,2,3,160
1.374423,1,1,1,160
1.374423,3,3,1,160
1.391426,3,3,3,1284
1.392710,1,1,1,1284
1.392710,2,2,1,1284
1.400525,1,1,3,1235
1.401760,3,3,1,1235
1.401760,2,2,1,1235
1.515981,2,2,3,1350
1.517331,1,1,1,1350
1.517331,3,3,1,1350
1.593765,2,2,3,591
1.594356,1,1,1,591
1.594356,3,3,1,591
1.628973,1,1,3,426
1.629399,3,3,1,426
1.629399,2,2,1,426
1.648317,3,3,3,1245
1.649562,1,1,1,1245
1.649562,2,2,1,1245
1.715939,2,2,3,874
1.716813,1,1,1,874
1.716813,3,3,1,874
1.795907,1,1,3,860
1.796767,3,3,1,860
1.796767,2,2,1,860
1.855794,1,1,3,975
1.856769,3,3,1,975
1.856769,2,2,1,975
1.873734,3,3,3,1341
1.875075,1,1,1,1341
1.875075,2,2,1,1341
2.015043,2,2,3,150
2.015193,1,1,1,150
2.015193,3,3,1,150
2.031395,3,3,3,727
2.032122,1,1,1,727
2.032122,2,2,1,727
2.109920,2,2,3,1239
2.111159,1,1,1,1239
2.111159,3,3,1,1239
2.130860,3,3,3,1077
2.131937,1,1,1,1077
2.131937,2,2,1,1077
2.137764,2,2,3,347
2.138111,1,1,1,347
2.138111,3,3,1,347
2.143318,3,3,3,507
2.143825,1,1,1,507
2.143825,2,2,1,507
2.296035,2,2,3,176
2.296211,1,1,1,176
2.296211,3,3,1,176
2.311860,2,2,3,1028
2.312553,3,3,3,851
2.312888,1,1,1,1028
2.312888,3,3,1,1028
2.313740,1,1,1,851
2.313740,2,2,1,851
2.316488,2,2,3,795
2.317283,1,1,1,795
2.317283,3,3,1,795
2.414603,1,1,3,70
2.414673,3,3,1,70
2.414673,2,2,1,70
2.430616,2,2,3,898
2.431514,1,1,1,898
2.431514,3,3,1,898
2.515388,1,1,3,591
2.515979,3,3,1,591
2.515979,2,2,1,591
